排名,股票代码,股票名称,最新收盘价,20日前收盘价,20日涨幅%,交易所
1,001896,豫能控股,15.88,6.2,156.13,SZ
2,301362,民爆光电,108.88,44.98,142.06,SZ
3,000711,ST京蓝,4.16,1.89,120.11,SZ
4,603618,杭电股份,19.17,9.04,112.06,SH
5,600397,江钨装备,19.99,10.02,99.5,SH
6,002378,章源钨业,44.7,22.79,96.14,SZ
7,002498,汉缆股份,9.83,5.13,91.62,SZ
8,300749,顶固集创,31.5,16.74,88.17,SZ
9,301373,凌玮科技,66.6,36.43,82.82,SZ
10,603950,长源东谷,54.84,30.1,82.19,SH
11,300344,*ST立方,1.87,1.04,79.81,SZ
12,300461,田中精机,61.25,34.31,78.52,SZ
13,600875,东方电气,44.22,24.85,77.95,SH
14,300617,安靠智电,71.97,40.52,77.62,SZ
15,000533,顺钠股份,14.88,8.38,77.57,SZ
16,000890,法尔胜,9.05,5.17,75.05,SZ
17,688480,赛恩斯,131.31,77.19,70.11,SH
18,002506,协鑫集成,5.56,3.29,69.0,SZ
19,300658,延江股份,30.26,18.0,68.11,SZ
20,300264,佳创视讯,10.36,6.25,65.76,SZ
21,600545,卓郎智能,4.15,2.52,64.68,SH
22,002842,翔鹭钨业,43.01,26.12,64.66,SZ
23,605289,罗曼股份,131.15,80.41,63.1,SH
24,301018,申菱环境,106.66,65.52,62.79,SZ
25,301580,爱迪特,81.91,51.11,60.26,SZ
26,600026,中远海能,25.24,15.8,59.75,SH
27,300739,明阳电路,30.2,18.94,59.45,SZ
28,688025,杰普特,256.82,161.7,58.82,SH
29,300265,通光线缆,20.61,13.05,57.93,SZ
30,600714,金瑞矿业,24.47,15.52,57.67,SH
31,300831,派瑞股份,21.03,13.34,57.65,SZ
32,300164,通源石油,20.3,12.88,57.61,SZ
33,003018,金富科技,27.1,17.26,57.01,SZ
34,603530,神马电力,71.2,45.46,56.62,SH
35,002980,华盛昌,34.4,22.03,56.15,SZ
36,605366,宏柏新材,10.92,7.03,55.33,SH
37,600722,金牛化工,13.53,8.73,54.98,SH
38,688309,恒誉环保,48.88,31.6,54.68,SH
39,301338,凯格精机,193.0,125.3,54.03,SZ
40,002843,泰嘉股份,27.93,18.18,53.63,SZ
41,300912,凯龙高科,28.88,18.9,52.8,SZ
42,300303,聚飞光电,10.82,7.09,52.61,SZ
43,688530,欧莱新材,33.22,21.86,51.97,SH
44,600759,洲际油气,8.24,5.45,51.19,SH
