排名,行业名称,平均涨幅,股票数量,count
1,玻璃,14.99,18,18
2,影视音像,9.19,35,35
3,煤炭开采,8.02,26,26
4,船舶,7.33,11,11
5,焦炭加工,6.57,7,7
6,石油开采,6.23,21,21
7,染料涂料,5.61,34,34
8,白酒,4.58,20,20
9,水运,4.5,19,19
10,房产服务,4.18,13,13
11,区域地产,3.66,44,44
12,出版业,3.51,29,29
13,银行,3.21,42,42
14,通信设备,2.94,135,135
15,家居用品,2.47,71,71
16,纺织机械,2.44,11,11
17,渔业,2.34,7,7
18,造纸,2.24,33,33
19,陶瓷,2.22,5,5
20,铁路,1.67,7,7
21,水泥,1.64,22,22
22,全国地产,1.55,26,26
23,石油贸易,1.55,4,4
24,火力发电,1.52,31,31
25,新型电力,1.48,30,30
26,纺织,1.3,42,42
27,互联网,1.26,80,80
28,公共交通,1.21,7,7
29,钢加工,1.16,23,23
30,矿物制品,0.83,35,35
31,种植业,0.8,19,19
32,旅游服务,0.72,8,8
33,电气设备,0.71,340,340
34,园区开发,0.54,14,14
35,空运,0.33,8,8
36,服饰,0.32,65,65
37,汽车整车,0.29,22,22
38,广告包装,0.25,52,52
39,化纤,0.24,34,34
40,仓储物流,0.21,45,45
41,环境保护,0.17,121,121
42,石油加工,0.16,14,14
43,文教休闲,0.11,52,52
44,综合类,0.1,19,19
45,路桥,0.09,19,19
46,机械基件,0.06,132,132
47,啤酒,0.02,8,8
48,工程机械,-0.08,38,38
49,机场,-0.14,5,5
50,港口,-0.16,16,16
51,其他建材,-0.2,30,30
52,农药化肥,-0.35,57,57
53,酒店餐饮,-0.39,9,9
54,水力发电,-0.41,22,22
55,橡胶,-0.58,17,17
56,软件服务,-0.58,280,280
57,其他商业,-0.58,12,12
58,专用机械,-0.63,279,279
59,装修装饰,-0.63,26,26
60,乳制品,-0.64,21,21
61,化工原料,-0.67,255,255
62,轻工机械,-0.68,7,7
63,中成药,-0.72,68,68
64,元器件,-0.8,301,301
65,运输设备,-0.85,49,49
66,红黄酒,-0.88,9,9
67,建筑工程,-0.96,129,129
68,商贸代理,-1.01,17,17
69,小金属,-1.05,64,64
70,旅游景点,-1.06,18,18
71,证券,-1.06,50,50
72,IT设备,-1.13,78,78
73,电器连锁,-1.13,2,2
74,饲料,-1.21,23,23
75,保险,-1.24,5,5
76,塑料,-1.27,78,78
77,日用化工,-1.3,20,20
78,普钢,-1.33,26,26
79,电器仪表,-1.44,105,105
80,化工机械,-1.58,13,13
81,林业,-1.7,4,4
82,特种钢,-1.71,10,10
83,汽车配件,-1.74,256,256
84,家用电器,-1.79,91,91
85,机床制造,-1.82,24,24
86,汽车服务,-1.89,10,10
87,食品,-1.99,93,93
88,供气供热,-2.02,45,45
89,软饮料,-2.09,9,9
90,批发业,-2.31,5,5
91,铝,-2.32,30,30
92,化学制药,-2.42,148,148
93,水务,-2.58,15,15
94,摩托车,-2.76,12,12
95,超市连锁,-2.81,8,8
96,电信运营,-2.9,5,5
97,多元金融,-3.0,23,23
98,百货,-3.22,35,35
99,医疗保健,-3.63,178,178
100,农用机械,-3.75,13,13
101,半导体,-3.79,192,192
102,农业综合,-3.81,43,43
103,航空,-3.88,53,53
104,商品城,-4.28,4,4
105,医药商业,-4.81,37,37
106,生物制药,-5.21,80,80
107,铜,-5.3,18,18
108,公路,-8.67,3,3
109,黄金,-9.88,10,10
110,铅锌,-11.42,14,14
