排名,行业名称,平均涨幅,股票数量
1,纺织机械,64.68,1
2,纺织,57.58,2
3,火力发电,55.7,5
4,水运,45.31,3
5,煤炭开采,44.12,4
6,化工机械,42.74,2
7,饲料,41.42,1
8,船舶,41.03,3
9,塑料,39.93,4
10,电器仪表,39.74,3
11,新型电力,38.64,4
12,家居用品,38.21,5
13,半导体,38.17,10
14,石油加工,38.0,1
15,小金属,37.38,12
16,化工原料,37.24,15
17,钢加工,36.99,4
18,环境保护,36.29,17
19,专用机械,35.79,27
20,通信设备,35.42,10
21,全国地产,35.02,1
22,出版业,34.89,1
23,种植业,34.44,2
24,机械基件,33.27,17
25,软件服务,32.64,16
26,医疗保健,32.6,4
27,石油开采,32.58,8
28,仓储物流,32.14,2
29,电气设备,32.0,71
30,矿物制品,30.98,5
31,区域地产,30.62,3
32,综合类,30.24,2
33,服饰,29.83,2
34,生物制药,29.46,2
35,染料涂料,29.24,3
36,元器件,29.02,36
37,汽车配件,28.99,15
38,铅锌,28.99,1
39,商贸代理,28.74,2
40,建筑工程,28.71,9
41,玻璃,28.14,4
42,供气供热,27.87,4
43,家用电器,27.73,1
44,化学制药,27.28,8
45,运输设备,27.04,4
46,IT设备,26.57,3
47,农药化肥,26.4,7
48,文教休闲,25.5,3
49,工程机械,25.28,2
50,特种钢,24.94,1
51,其他建材,24.62,1
52,公共交通,24.0,1
53,普钢,23.72,2
54,摩托车,23.4,2
55,水力发电,23.15,6
56,航空,23.03,4
57,广告包装,23.01,1
58,石油贸易,22.7,1
59,中成药,21.99,1
60,其他商业,21.97,1
61,铝,21.54,1
62,装修装饰,21.24,1
63,食品,21.03,1
64,多元金融,20.99,1
65,造纸,18.91,1
66,陶瓷,18.84,1
67,机床制造,17.77,1
68,农业综合,17.69,1
